record_id;family;genus;epithet;author;commonname;project;matrix_kind;localization;latitude;longitude;height;collector;collect_date;seed_size;fruit_mass;initial_mass;result_mass;weight_in_1000;seeds_in_kg;humidity;germinability;seed_handling;observations;storage;germinability_history;humidity_history;days_after_storage;test_date_storage;inserted_in_system
640;Cactaceae;Cereus;jamacaru;DC.;mandacaru;PISF;matrix;Pernambuco|Salgueiro;-8.012833333;-39.21794444;447;D.G. Oliveira;12/03/2014;XS;36300;734.3;0;3.11;321543.41;8.86;77;ND;NA;Plastic bag;NA;NA;NA;NA;23/05/2014
641;Fabaceae;Pterogyne;nitens;Tul.;amendoim-bravo, amendoim-do-campo, amendoim;PISF;matrix;Ceará|Brejo Santo;-7.557833333;-38.91788889;416;J.E. Santos;23/05/2014;M;17000;2546.9;0;137.35;7280.67;8.38;55;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;22/07/2014
642;Fabaceae;Bauhinia;cheilantha;(Bong.) Steud.;pata-de-vaca, mororó;PISF;matrix;Ceará|Milagres;-7.274583333;-38.85322222;428;J.E. Santos;26/06/2014;S;3300;486.9;0;56.28;17769.64;4.24;90;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;18/08/2014
644;Rhamnaceae;Sarcomphalus;joazeiro;(Mart.)Hauenshild;juazeiro;PISF;matrix;Paraíba|São José de Piranhas;-7.095861111;-38.62355556;363;R. Fartes;15/05/2014;M;89150;2823.3;0;395.69;2527.23;8.2;0;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;23/05/2014
645;Rhamnaceae;Sarcomphalus;joazeiro;(Mart.)Hauenshild;juazeiro;PISF;matrix;Ceará|Brejo Santo;-7.606305556;-38.88130556;415;J.E. Santos;24/04/2014;M;13667;13600;0;456.78;2189.24;8.63;0;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;23/05/2014
647;Anacardiaceae;Spondias;mombin;L.;cajá;PISF;matrix region;Ceará|Brejo Santo;-7.605861111;-38.88052778;400;R. Fartes;03/04/2014;L;2720;231.4;0;1218.29;820.82;9.82;0;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;23/05/2014
650;Fabaceae;Pithecellobium;diversifolium;Benth.;carcararzeiro;PISF;matrix region;Pernambuco|Floresta;-8.403638889;-38.46163889;351;F.F.S. Silva;06/05/2014;M;550;99.5;0;124.33;8043.11;10.38;86;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;28/05/2014
651;Anacardiaceae;Spondias;mombin;L.;cajá;PISF;matrix region;Ceará|Brejo Santo;-7.605861111;-38.88052778;400;R. Fartes;10/04/2014;L;1494.2;1494.2;0;1247.22;801.78;10.21;0;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;23/05/2014
652;Rhamnaceae;Sarcomphalus;joazeiro;(Mart.)Hauenshild;juazeiro;PISF;matrix region;Ceará|Brejo Santo;-7.605861111;-38.88052778;400;R. Fartes;03/04/2014;M;16670;1505.7;0;285.07;3507.91;12.45;0;PD - removal partial or total of the endocarp;NA;Plastic bag;NA;NA;NA;NA;30/05/2014
655;Capparaceae;Crateva;tapia;L.;cabaceira, trapiá;PISF;matrix;Ceará|Brejo Santo;-7.605861111;-38.88052778;400;R. Fartes;03/04/2014;M;10830;609.9;0;135.85;7361.06;16.87;0;PY - mechanically scarified;NA;Plastic bag;NA;NA;NA;NA;30/05/2014
